Sample	Unique Reads	Duplicate Reads
RR8_LVR_BSL_ISS-T_OLD_BI1_R1_raw	19569202.0	34908065.0
RR8_LVR_BSL_ISS-T_OLD_BI1_R2_raw	12290414.0	42186853.0
RR8_LVR_BSL_ISS-T_OLD_BI2_R1_raw	19911480.0	41203573.0
RR8_LVR_BSL_ISS-T_OLD_BI2_R2_raw	15984640.0	45130413.0
RR8_LVR_BSL_ISS-T_OLD_BI3_R1_raw	22623120.0	41089363.0
RR8_LVR_BSL_ISS-T_OLD_BI3_R2_raw	10514388.0	53198095.0
RR8_LVR_BSL_ISS-T_OLD_BI4_R1_raw	21516472.0	41591674.0
RR8_LVR_BSL_ISS-T_OLD_BI4_R2_raw	14824855.0	48283291.0
RR8_LVR_BSL_ISS-T_OLD_BI5_R1_raw	22083513.0	34125439.0
RR8_LVR_BSL_ISS-T_OLD_BI5_R2_raw	14345079.0	41863873.0
RR8_LVR_BSL_ISS-T_OLD_BI6_R1_raw	16891319.0	45078190.0
RR8_LVR_BSL_ISS-T_OLD_BI6_R2_raw	11775933.0	50193576.0
RR8_LVR_BSL_ISS-T_OLD_BI7_R1_raw	20332449.0	42767362.0
RR8_LVR_BSL_ISS-T_OLD_BI7_R2_raw	12120488.0	50979323.0
RR8_LVR_BSL_ISS-T_OLD_BI8_R1_raw	31468368.0	51297196.0
RR8_LVR_BSL_ISS-T_OLD_BI8_R2_raw	15084487.0	67681077.0
RR8_LVR_BSL_ISS-T_OLD_BI9_R1_raw	23957217.0	36881210.0
RR8_LVR_BSL_ISS-T_OLD_BI9_R2_raw	14981561.0	45856866.0
RR8_LVR_BSL_ISS-T_YNG_BI11_R1_raw	26022549.0	36359140.0
RR8_LVR_BSL_ISS-T_YNG_BI11_R2_raw	13715412.0	48666277.0
RR8_LVR_BSL_ISS-T_YNG_BI12_R1_raw	19929685.0	37870408.0
RR8_LVR_BSL_ISS-T_YNG_BI12_R2_raw	11750419.0	46049674.0
RR8_LVR_BSL_ISS-T_YNG_BI13_R1_raw	24311646.0	37309258.0
RR8_LVR_BSL_ISS-T_YNG_BI13_R2_raw	12773507.0	48847397.0
RR8_LVR_BSL_ISS-T_YNG_BI14_R1_raw	25369052.0	44659177.0
RR8_LVR_BSL_ISS-T_YNG_BI14_R2_raw	14676450.0	55351779.0
RR8_LVR_BSL_ISS-T_YNG_BI15_R1_raw	23283084.0	34923546.0
RR8_LVR_BSL_ISS-T_YNG_BI15_R2_raw	15929980.0	42276650.0
RR8_LVR_BSL_ISS-T_YNG_BI16_R1_raw	27292909.0	30523338.0
RR8_LVR_BSL_ISS-T_YNG_BI16_R2_raw	17769958.0	40046289.0
RR8_LVR_BSL_ISS-T_YNG_BI17_R1_raw	24681985.0	41301724.0
RR8_LVR_BSL_ISS-T_YNG_BI17_R2_raw	14234428.0	51749281.0
RR8_LVR_BSL_ISS-T_YNG_BI18_R1_raw	24625003.0	40725798.0
RR8_LVR_BSL_ISS-T_YNG_BI18_R2_raw	15657559.0	49693242.0
RR8_LVR_BSL_ISS-T_YNG_BI19_R1_raw	22970623.0	46666358.0
RR8_LVR_BSL_ISS-T_YNG_BI19_R2_raw	13386759.0	56250222.0
RR8_LVR_BSL_ISS-T_YNG_BI20_R1_raw	21653676.0	42847511.0
RR8_LVR_BSL_ISS-T_YNG_BI20_R2_raw	13545919.0	50955268.0
RR8_LVR_BSL_LAR_OLD_BL11_R1_raw	21321146.0	43481790.0
RR8_LVR_BSL_LAR_OLD_BL11_R2_raw	11916757.0	52886179.0
RR8_LVR_BSL_LAR_OLD_BL12_R1_raw	22601006.0	44064065.0
RR8_LVR_BSL_LAR_OLD_BL12_R2_raw	13433473.0	53231598.0
RR8_LVR_BSL_LAR_OLD_BL13_R1_raw	20973841.0	37140623.0
RR8_LVR_BSL_LAR_OLD_BL13_R2_raw	12017400.0	46097064.0
RR8_LVR_BSL_LAR_OLD_BL14_R1_raw	17105235.0	37537879.0
RR8_LVR_BSL_LAR_OLD_BL14_R2_raw	10251592.0	44391522.0
