Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RR8_LVR_BSL_ISS-T_OLD_BI1_R1_raw	RR8_LVR_BSL_ISS-T_OLD_BI1_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54477267.0	0.0	149.0	47.0	35.92177474409177	149.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
RR8_LVR_BSL_ISS-T_OLD_BI1_R2_raw	RR8_LVR_BSL_ISS-T_OLD_BI1_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54477267.0	0.0	149.0	48.0	22.560627652693462	149.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
RR8_LVR_BSL_ISS-T_OLD_BI2_R1_raw	RR8_LVR_BSL_ISS-T_OLD_BI2_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61115053.0	0.0	149.0	44.0	32.580319868877616	149.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
RR8_LVR_BSL_ISS-T_OLD_BI2_R2_raw	RR8_LVR_BSL_ISS-T_OLD_BI2_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61115053.0	0.0	149.0	44.0	26.15499539441676	149.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
RR8_LVR_BSL_ISS-T_OLD_BI3_R1_raw	RR8_LVR_BSL_ISS-T_OLD_BI3_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63712483.0	0.0	149.0	49.0	35.50814268169942	149.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	warn
RR8_LVR_BSL_ISS-T_OLD_BI3_R2_raw	RR8_LVR_BSL_ISS-T_OLD_BI3_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63712483.0	0.0	149.0	49.0	16.502868386773265	149.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
RR8_LVR_BSL_ISS-T_OLD_BI4_R1_raw	RR8_LVR_BSL_ISS-T_OLD_BI4_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63108146.0	0.0	149.0	44.0	34.09460183541206	149.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
RR8_LVR_BSL_ISS-T_OLD_BI4_R2_raw	RR8_LVR_BSL_ISS-T_OLD_BI4_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63108146.0	0.0	149.0	44.0	23.491190152077973	149.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
RR8_LVR_BSL_ISS-T_OLD_BI5_R1_raw	RR8_LVR_BSL_ISS-T_OLD_BI5_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56208952.0	0.0	149.0	47.0	39.28824844979608	149.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	fail
RR8_LVR_BSL_ISS-T_OLD_BI5_R2_raw	RR8_LVR_BSL_ISS-T_OLD_BI5_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56208952.0	0.0	149.0	48.0	25.52098596540417	149.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
RR8_LVR_BSL_ISS-T_OLD_BI6_R1_raw	RR8_LVR_BSL_ISS-T_OLD_BI6_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61969509.0	0.0	149.0	43.0	27.257466311465027	149.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
RR8_LVR_BSL_ISS-T_OLD_BI6_R2_raw	RR8_LVR_BSL_ISS-T_OLD_BI6_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61969509.0	0.0	149.0	44.0	19.00278462702864	149.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
RR8_LVR_BSL_ISS-T_OLD_BI7_R1_raw	RR8_LVR_BSL_ISS-T_OLD_BI7_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63099811.0	0.0	149.0	45.0	32.222677127621665	149.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
RR8_LVR_BSL_ISS-T_OLD_BI7_R2_raw	RR8_LVR_BSL_ISS-T_OLD_BI7_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63099811.0	0.0	149.0	45.0	19.208436349177813	149.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
RR8_LVR_BSL_ISS-T_OLD_BI8_R1_raw	RR8_LVR_BSL_ISS-T_OLD_BI8_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82765564.0	0.0	149.0	50.0	38.02108756082285	149.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	fail
RR8_LVR_BSL_ISS-T_OLD_BI8_R2_raw	RR8_LVR_BSL_ISS-T_OLD_BI8_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82765564.0	0.0	149.0	50.0	18.225558687211528	149.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
