Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RR8_LVR_BSL_ISS-T_OLD_BI1_R1_raw	64.07822525590822	47.0	149.0	36.36363636363637	54477267.0
RR8_LVR_BSL_ISS-T_OLD_BI1_R2_raw	77.43937234730654	48.0	149.0	36.36363636363637	54477267.0
RR8_LVR_BSL_ISS-T_OLD_BI2_R1_raw	67.41968013112239	44.0	149.0	27.27272727272727	61115053.0
RR8_LVR_BSL_ISS-T_OLD_BI2_R2_raw	73.84500460558324	44.0	149.0	36.36363636363637	61115053.0
RR8_LVR_BSL_ISS-T_OLD_BI3_R1_raw	64.49185731830059	49.0	149.0	27.27272727272727	63712483.0
RR8_LVR_BSL_ISS-T_OLD_BI3_R2_raw	83.49713161322674	49.0	149.0	27.27272727272727	63712483.0
RR8_LVR_BSL_ISS-T_OLD_BI4_R1_raw	65.90539816458795	44.0	149.0	27.27272727272727	63108146.0
RR8_LVR_BSL_ISS-T_OLD_BI4_R2_raw	76.50880984792202	44.0	149.0	36.36363636363637	63108146.0
RR8_LVR_BSL_ISS-T_OLD_BI5_R1_raw	60.71175155020392	47.0	149.0	27.27272727272727	56208952.0
RR8_LVR_BSL_ISS-T_OLD_BI5_R2_raw	74.47901403459583	48.0	149.0	27.27272727272727	56208952.0
RR8_LVR_BSL_ISS-T_OLD_BI6_R1_raw	72.74253368853498	43.0	149.0	36.36363636363637	61969509.0
RR8_LVR_BSL_ISS-T_OLD_BI6_R2_raw	80.99721537297137	44.0	149.0	45.45454545454545	61969509.0
RR8_LVR_BSL_ISS-T_OLD_BI7_R1_raw	67.77732287237833	45.0	149.0	36.36363636363637	63099811.0
RR8_LVR_BSL_ISS-T_OLD_BI7_R2_raw	80.79156365082218	45.0	149.0	45.45454545454545	63099811.0
RR8_LVR_BSL_ISS-T_OLD_BI8_R1_raw	61.97891243917715	50.0	149.0	27.27272727272727	82765564.0
RR8_LVR_BSL_ISS-T_OLD_BI8_R2_raw	81.77444131278847	50.0	149.0	36.36363636363637	82765564.0
RR8_LVR_BSL_ISS-T_OLD_BI9_R1_raw	60.62157130008183	45.0	149.0	18.181818181818183	60838427.0
RR8_LVR_BSL_ISS-T_OLD_BI9_R2_raw	75.37483926669083	46.0	149.0	27.27272727272727	60838427.0
RR8_LVR_BSL_ISS-T_YNG_BI11_R1_raw	58.28495759680939	49.0	149.0	18.181818181818183	62381689.0
RR8_LVR_BSL_ISS-T_YNG_BI11_R2_raw	78.01372169523522	49.0	149.0	27.27272727272727	62381689.0
RR8_LVR_BSL_ISS-T_YNG_BI12_R1_raw	65.51963298683529	46.0	149.0	18.181818181818183	57800093.0
RR8_LVR_BSL_ISS-T_YNG_BI12_R2_raw	79.67058972124795	46.0	149.0	27.27272727272727	57800093.0
RR8_LVR_BSL_ISS-T_YNG_BI13_R1_raw	60.54643211152748	47.0	149.0	18.181818181818183	61620904.0
RR8_LVR_BSL_ISS-T_YNG_BI13_R2_raw	79.27082321118692	48.0	149.0	27.27272727272727	61620904.0
